1,1,1,1,1,3,4,10,11,11,11,13,13,13,13,16,16,20,23,24,25,25,27,27,31,33,34,35,36,37,37,38,39,41,42,45,45,48,49,51,52,53,53,53,53,55,57,57,57,64,65,65,68,69,71,73,75,75,75,76,78,81,81,82,83,84,85,87,90,92,95,99,99,99,99,102,103,104,104,105,105,105,107,107,108,112,113,116,117,118,121,121,122,123,123,126,129,130,131,132,132,133,135,137,138,140,142,144,147,147,148,150,150,153,153,154,154,155,156,157,157,160,161,161,161,161,161,164,166,169,171,172,173,175,181,181,185,185,186,186,187,188,189,190,190,196,198,199,199
1,1,1,1,1,3,4,10,11,11,11,13,13,13,13,16,16,20,23,24,25,25,27,27,31,33,34,35,36,37,37,38,39,41,42,45,45,48,49,51,52,53,53,53,53,55,57,57,57,64,65,65,68,69,73,73,75,86,86,86,101,101,101,114,114,114,123,123,129,129,140,143,144,152,152,155,159,178,178,178,189,189,189,198,198,198,207,211,211,211,214,218,228,228,228,230,239,239,239,241,245,260,260,260,278,278,278,281,295,297,297,309,309,309,315,315,317,337,339,339,339,356,356,356,374,374,374,392,392,392,402,402,402,410,410,414,423,423,423,431,431,441,441,451,451,451,464,466,470
3,3,3,3,2,4,5,11,12,12,12,15,14,14,15,17,17,22,24,25,26,26,28,29,32,34,35,37,38,38,39,40,40,42,44,47,47,50,50,52,54,54,55,55,54,56,58,59,59,66,66,67,70,70,75,74,76,88,87,88,103,103,102,115,116,115,125,124,130,130,142,145,146,153,154,156,161,180,179,180,190,190,190,200,200,199,208,213,212,212,215,219,230,229,229,231,241,241,240,242,247,262,261,262,280,279,280,282,296,298,299,311,311,310,316,317,319,339,341,340,340,358,357,357,376,375,375,393,394,393,404,403,404,412,412,416,424,424,424,433,433,442,442,453,452,453,466,467,471
3,3,3,3,2,8,14,15,16,17,18,19,31,31,31,43,47,47,47,52,52,62,62,62,73,73,73,86,86,86,101,101,101,114,114,114,123,123,129,129,140,143,144,152,152,155,159,178,178,178,189,189,189,198,198,198,207,211,211,211,214,218,228,228,228,230,239,239,239,241,245,260,260,260,278,278,278,281,295,297,297,309,309,309,315,315,317,337,339,339,339,356,356,356,374,374,374,392,392,392,402,402,402,410,410,414,423,423,423,431,431,441,441,451,451,451,464,466,470,470,470,472,476,480,483,484,494,494,494,497,500,525,525,529,529,532,542,542,553,553,553,565,565,565,567,571,585,585,603
18,14,3,8,2,15,16,17,19,20,26,20,33,33,32,43,48,53,49,54,54,66,63,66,74,76,81,90,90,93,102,104,106,144,115,118,124,127,143,140,148,148,158,161,153,162,160,181,180,179,190,194,189,199,203,200,207,212,220,220,218,219,229,233,231,233,253,240,244,246,251,261,261,262,284,282,278,303,295,300,300,319,311,310,318,315,317,337,343,343,345,365,362,361,380,380,380,393,394,393,403,406,418,420,411,417,426,434,427,444,433,443,445,453,453,452,464,466,490,472,485,474,477,483,484,485,495,503,499,502,506,533,525,535,529,543,545,551,554,556,553,567,568,574,572,573,588,585,608
18,14,3,8,2,24,28,31,35,39,43,47,49,52,54,58,62,66,70,73,79,83,86,95,98,101,105,109,114,118,123,127,129,144,133,135,140,152,155,159,162,171,178,182,186,189,192,194,198,202,204,207,211,214,218,221,224,228,230,234,237,239,241,245,252,256,260,264,275,278,281,285,295,297,301,305,309,311,315,317,329,333,337,339,342,352,356,364,366,374,378,381,392,398,400,402,406,410,414,418,420,423,428,431,439,441,444,448,451,459,461,464,466,470,472,476,480,482,490,484,487,494,497,500,513,520,525,529,532,538,542,546,551,553,557,561,565,567,571,580,583,585,599,603,605,609,615,617,621
22,24,6,12,8,28,31,35,39,43,47,49,52,54,58,62,66,70,73,79,83,86,95,98,101,105,109,114,118,123,127,129,133,152,135,140,144,155,159,162,171,178,182,186,189,192,194,198,202,204,207,211,214,218,221,224,228,230,234,237,239,241,245,252,256,260,264,275,278,281,285,295,297,301,305,309,311,315,317,329,333,337,339,342,352,356,364,366,374,378,381,392,398,400,402,406,410,414,418,420,423,428,431,439,441,444,448,451,459,461,464,466,470,472,476,480,482,484,494,487,491,497,500,513,520,525,529,532,538,542,546,551,553,557,561,565,567,571,580,583,585,599,603,605,609,615,617,621,625
37,39,21,27,23,43,46,50,54,58,62,64,67,69,73,77,81,85,88,94,98,101,110,113,116,120,124,129,133,138,142,144,148,167,150,155,159,170,174,177,186,193,197,201,204,207,209,213,217,219,222,226,229,233,236,239,243,245,249,252,254,256,260,267,271,275,279,290,293,296,300,310,312,316,320,324,326,330,332,344,348,352,354,357,367,371,379,381,389,393,396,407,413,415,417,421,425,429,433,435,438,443,446,454,456,459,463,466,474,476,479,481,485,487,491,495,497,499,509,502,506,512,515,528,535,540,544,547,553,557,561,566,568,572,576,580,582,586,595,598,600,614,618,620,624,630,632,636,640
