1,1,3,4,5,5,5,6,9,10,10,10,11,12,13,14,15,16,16,18,19,21,21,21,22,23,27,33,34,35,39,39,45,46,46,47,51,51,53,54,55,56,60,61,62,63,65,65,71,71,75,77,80,82,82,82,83,83,84,88,93,96,99,100,100,101,101,103,105,107,110,111,111,113,114,114,115,118,118,119,123,124,129,131,132,132,134,135,135,137,138,140,145,146,146,146,150,151,151,152,152,152,158,158,160,161,162,163,163,166,168,169,169,170,171,171,172,175,178,179,181,181,182,182,183,186,187,187,187,189,189,189,192,195,197,198,198
1,1,3,4,5,5,5,6,9,10,10,10,11,12,13,14,15,16,16,18,19,21,21,21,22,23,27,33,34,35,39,39,45,46,46,47,51,51,53,54,55,56,60,61,62,63,65,65,71,71,75,77,80,82,82,95,95,95,95,95,95,116,116,116,116,116,116,141,141,141,141,147,160,163,163,163,163,163,163,176,176,188,188,188,188,188,209,209,209,209,209,209,236,236,236,236,236,262,266,270,270,270,270,270,270,297,302,302,302,302,302,302,324,324,324,324,324,324,355,355,361,361,361,361,361,361,384,384,384,384,384,384,405,405,405,405,405
3,3,4,6,6,6,6,7,10,11,11,12,13,14,15,15,17,18,18,19,21,22,23,23,23,25,29,34,35,36,40,41,47,48,48,48,52,53,55,56,56,58,61,63,64,65,67,67,73,73,76,79,82,84,84,96,97,96,96,97,96,117,118,118,118,118,117,142,142,143,142,149,162,165,164,165,164,165,164,177,177,190,189,190,189,190,211,210,211,210,211,210,237,237,238,238,238,263,267,272,272,272,272,272,272,299,304,303,304,303,303,304,325,325,325,326,325,325,357,356,363,362,363,362,363,362,385,386,386,385,386,385,407,406,406,407,407
3,3,4,6,6,6,6,7,23,23,23,23,23,23,54,58,58,58,58,71,71,71,71,71,71,95,95,95,95,95,95,116,116,116,116,116,116,141,141,141,141,147,160,163,163,163,163,163,163,176,176,188,188,188,188,188,209,209,209,209,209,209,236,236,236,236,236,262,266,270,270,270,270,270,270,297,302,302,302,302,302,302,324,324,324,324,324,324,355,355,361,361,361,361,361,361,384,384,384,384,384,384,405,405,405,405,405,405,430,430,430,430,430,430,458,458,458,458,458,458,481,481,481,481,481,496,496,500,500,500,500,500,518,518,518,518,518
4,4,4,11,10,11,7,7,36,30,25,29,25,24,54,62,59,66,58,77,82,74,76,74,72,100,97,104,96,96,96,117,119,123,118,118,117,149,143,148,141,147,160,166,177,190,170,170,166,182,176,189,189,192,190,189,211,213,219,218,211,211,240,238,237,241,236,262,266,278,272,281,272,278,272,297,308,303,304,303,303,303,325,331,331,326,328,325,358,355,367,371,362,368,372,367,390,392,389,388,386,394,406,409,408,406,406,409,434,432,432,432,435,433,462,460,462,462,463,459,487,483,486,490,481,502,496,505,502,505,501,502,521,519,519,528,521
4,17,21,23,26,30,36,40,50,54,58,61,64,68,71,75,82,85,89,93,95,97,104,106,110,112,116,120,124,128,130,137,141,143,147,151,157,160,163,166,170,173,176,180,184,190,188,196,199,203,205,209,212,216,226,229,233,236,240,246,252,256,262,266,270,276,279,281,283,292,297,302,311,313,315,318,322,324,331,342,344,346,348,355,358,361,367,371,373,376,380,384,388,391,395,400,402,405,413,417,419,423,426,430,435,439,443,447,451,458,462,464,471,473,477,481,484,487,489,491,496,500,503,506,508,510,514,518,522,529,531,535,541,548,552,562,566
17,21,23,26,30,36,40,50,54,58,61,64,68,71,75,82,85,89,93,95,97,104,106,110,112,116,120,124,128,130,137,141,143,147,151,157,160,163,166,170,173,176,180,184,188,196,192,199,203,205,209,212,216,226,229,233,236,240,246,252,256,262,266,270,276,279,281,283,292,297,302,311,313,315,318,322,324,331,342,344,346,348,355,358,361,367,371,373,376,380,384,388,391,395,400,402,405,413,417,419,423,426,430,435,439,443,447,451,458,462,464,471,473,477,481,484,487,489,491,496,500,503,506,508,510,514,518,522,529,531,535,541,548,552,562,566,568
32,36,38,41,45,51,55,65,69,73,76,79,83,86,90,97,100,104,108,110,112,119,121,125,127,131,135,139,143,145,152,156,158,162,166,172,175,178,181,185,188,191,195,199,203,211,207,214,218,220,224,227,231,241,244,248,251,255,261,267,271,277,281,285,291,294,296,298,307,312,317,326,328,330,333,337,339,346,357,359,361,363,370,373,376,382,386,388,391,395,399,403,406,410,415,417,420,428,432,434,438,441,445,450,454,458,462,466,473,477,479,486,488,492,496,499,502,504,506,511,515,518,521,523,525,529,533,537,544,546,550,556,563,567,577,581,583
